Name: “Table 1 of 1 on page 81 of 82”,Name: “Table 1 of 1 on page 81 of 82”,Name: “Table 1 of 1 on page 81 of 82”,Name: “Table 1 of 1 on page 81 of 82”,Name: “Table 1 of 1 on page 81 of 82”,Name: “Table 1 of 1 on page 81 of 82”,Name: “Table 1 of 1 on page 81 of 82”
Table: 80,Table: 80,Table: 80,Table: 80,Table: 80,Table: 80,Table: 80
,,,,,,
Table D.3 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related Industries by,Table D.3 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related Industries by,Table D.3 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related Industries by,Table D.3 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related Industries by,Table D.3 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related Industries by,Table D.3 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related Industries by,Table D.3 Direct and Total Economic Impacts of Virginia Agriculture and Forestry-related Industries by
"Locality, Value-added 2011 ($ Millions)",,,,,,
,Agriculture,,Forestry,,Agriculture & Forestry,Agriculture & Forestry
Locality,Direct,Total,Direct,Total,Direct,Total
Portsmouth,34.0,69.8,3.9,5.9,38.0,75.7
Powhatan,4.8,7.1,11.3,15.8,16.2,23.0
Prince Edward,7.9,10.4,15.6,23.3,23.5,33.8
Prince George and Hopewell City,26.0,35.3,66.8,92.9,92.8,128.2
Prince William and Manassas and Manassas Park cities,63.9,106.6,43.4,64.6,107.4,171.2
Pulaski,9.8,14.6,2.3,3.6,12.1,18.2
Rappahannock,6.0,9.1,1.0,1.5,7.0,10.6
Richmond,5.7,8.5,7.9,11.0,13.6,19.4
Richmond City,"3,761.9","4,062.6",103.8,206.0,"3,865.7","4,268.6"
Roanoke City,58.0,128.9,39.7,70.2,97.7,199.1
Roanoke and Salem City,55.2,114.1,49.1,96.0,104.2,210.1
Rockbridge and Buena Vista and Lexington cities,12.0,16.8,17.0,25.7,29.0,42.5
Rockingham and Harrisonburg City,657.4,974.8,37.1,63.8,694.5,"1,038.6"
Russell,14.4,21.7,2.2,3.3,16.6,25.0
Scott,4.9,6.3,4.8,6.6,9.7,12.8
Shenandoah,94.4,165.0,42.6,60.6,137.0,225.6
Smyth,11.0,16.8,17.0,29.8,28.0,46.5
Southampton and Franklin City,50.9,72.5,10.8,14.1,61.6,86.5
Spotsylvania and Fredericksburg City,13.9,27.0,34.3,63.4,48.2,90.4
Stafford,21.2,36.0,6.9,10.1,28.2,46.1
Suffolk,231.3,386.5,7.2,12.1,238.6,398.6
Surry,7.3,11.5,4.9,6.5,12.2,18.0
Sussex,9.2,12.3,4.1,4.9,13.3,17.2
Tazewell,17.1,32.9,4.9,9.1,22.0,42
Virginia Beach,58.9,114,34.5,59.1,93.3,173.1
Warren,42.8,66.5,8.4,12.7,51.2,79.2
Washington and Bristol City,64.3,108.1,10.0,16.8,74.3,124.9
Westmoreland,19.4,33.4,15.3,20.6,34.7,54.0
Wise and Norton City,11.3,19.5,11.5,17.2,22.8,36.8
Wythe,70.7,115.5,7.2,9.3,77.8,124.8
York and Poquoson City,18.0,26.5,3.2,4.9,21.2,31.5
,,,,,,71
