Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”,Name: “Table 1 of 1 on page 8 of 10”
Table: 8,Table: 8,Table: 8,Table: 8,Table: 8,Table: 8
,,,,,
Silvicultural Best Management,,,,,
Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,Practices Implementation Monitoring for Virginia,,
,,,,,2013
,,Response Counts,Response Counts,,
Audit Questions by Category,,,,,% Yes
,N/A,No,Yes,Total,
Roads,"2,806",296,"1,458","4,560",83.1
Are grades between 2% and 10% except for necessary deviations?,65,1,174,240,99.4
Are new roads located and constructed to allow for proper,187,4,49,240,92.5
drainage?,,,,,
"Are new roads located to avoid erodible, wet and sensitive ground?",186,1,53,240,98.1
Are riprap and/or brush dams used where needed to slow water,226,5,9,240,64.3
and trap sediment?,,,,,
Are roads built outside of SMZs where possible?,140,1,99,240,99.0
Are roads daylighted where needed and feasible?,73,13,154,240,92.2
Are roads in SMZs as far from the channel as possible and built to,216,–,24,240,100.0
prevent stream sedimentation?,,,,,
Are roads on the contour where practical?,89,–,151,240,100.0
Are roads outsloped where needed and conditions allow?,153,15,72,240,82.8
Are temporary roads retired with properly constructed water bars,212,9,19,240,67.9
or tank traps?,,,,,
Are turnouts directing water and/or sediment away from riparian,196,4,40,240,90.9
areas?,,,,,
"Are under road culverts installed, spaced and maintained properly?",203,3,34,240,91.9
Is access being controlled with a functional gate or barrier?,67,82,91,240,52.6
"Is construction of dips, bars, turnouts and traps adequate to",184,10,46,240,82.1
maintain function?,,,,,
Is gravel or vegetation present to protect water bars from erosion?,158,27,55,240,67.1
Is there rock or vegetation on slopes where needed to prevent,101,43,96,240,69.1
erosion?,,,,,
Is water being “turned out” into surrounding landscape with,145,36,59,240,62.1
appropriate structures?,,,,,
Is water diverted from the road surface at specified intervals using,139,42,59,240,58.4
"dips, bars or traps?",,,,,
Was road construction and use minimized?,66,–,174,240,100.0
Skidding,"1,456",206,"1,458","3,120",87.6
Are all skid trails free from channelized flow that is likely to cause,11,8,221,240,96.5
sedimentation?,,,,,
Are all skid trails located outside the SMZ?,82,14,144,240,91.1
Are appropriate cross drainages installed where springs or seeps,235,1,4,240,80.0
crossed the trails?,,,,,
Are bladed skid trails limited to less than 26% grade unless,181,8,51,240,86.4
absolutely necessary?,,,,,
Page 8,,,,,
