Name: “Table 1 of 3”,Name: “Table 1 of 3”,Name: “Table 1 of 3”,Name: “Table 1 of 3”,Name: “Table 1 of 3”
Table: 1,Table: 1,Table: 1,Table: 1,Table: 1
,,,,
,1997,1998,1999,2000
"Cooperative 
                Forest Health Program","68,607","68,607","68,607","68,607"
"Forest 
                Health Monitoring","62,000","62,000","62,000","62,000"
,,,,
"Cooperative 
                Suppression",,,,
"Southern 
                pine beetle","8,000","8,000","8,000","12,000"
"Gypsy 
                moth suppression","267,300","205,000","110,000","103,000"
"Gypsy 
                moth eradication","52,000",0,0,0
"Slow-the-Spread 
                (gypsy moth)","590,686","552,000","536,000","570,799"
,,,,
"George 
                Washington/Jefferson",,,,
"National 
                Forests",,,,
"Gypsy 
                moth suppression","131,500","126,500",0,0
"Slow- 
                the-Spread (gypsy moth)","55,197","48,500","48,500","48,500"
"Hemlock 
                woolly adelgid","40,000","30,000","46,000","46,000"
