,1997,1998,1999,2000
"Cooperative 
                Forest Health Program","68,607","68,607","68,607","68,607"
"Forest 
                Health Monitoring","62,000","62,000","62,000","62,000"
,,,,
"Cooperative 
                Suppression",,,,
"Southern 
                pine beetle","8,000","8,000","8,000","12,000"
"Gypsy 
                moth suppression","267,300","205,000","110,000","103,000"
"Gypsy 
                moth eradication","52,000",0,0,0
"Slow-the-Spread 
                (gypsy moth)","590,686","552,000","536,000","570,799"
,,,,
"George 
                Washington/Jefferson",,,,
"National 
                Forests",,,,
"Gypsy 
                moth suppression","131,500","126,500",0,0
"Slow- 
                the-Spread (gypsy moth)","55,197","48,500","48,500","48,500"
"Hemlock 
                woolly adelgid","40,000","30,000","46,000","46,000"
"Virginia 
              Department of Forestry",(or),"USDA 
              Forest Service"
"P.O. 
              Box 3758",,"Forest 
              Health Protection"
"Charlottesville, 

              VA  22903-0758",,"P.O. 
              Box 2680"
"(804) 
              977-6555",,"Asheville, 
              NC 28802-2680"
"E-mail: 
              tignert@hq.forestry.state.va.us",,(828) 257-4320
http://state.vipnet.org/dof/index.html,,"E-mail: 
              Asheville Field Office"
,,http://www.fs.fed.us/r8/foresthealth
