Name: “Table 1 of 1 on page 103 of 164”,Name: “Table 1 of 1 on page 103 of 164”,Name: “Table 1 of 1 on page 103 of 164”,Name: “Table 1 of 1 on page 103 of 164”,Name: “Table 1 of 1 on page 103 of 164”,Name: “Table 1 of 1 on page 103 of 164”,Name: “Table 1 of 1 on page 103 of 164”,Name: “Table 1 of 1 on page 103 of 164”,Name: “Table 1 of 1 on page 103 of 164”,Name: “Table 1 of 1 on page 103 of 164”,Name: “Table 1 of 1 on page 103 of 164”,Name: “Table 1 of 1 on page 103 of 164”
Table: 103,Table: 103,Table: 103,Table: 103,Table: 103,Table: 103,Table: 103,Table: 103,Table: 103,Table: 103,Table: 103,Table: 103
,,,,,,,,,,,
Text Tables,Text Tables,,,,,,,,,,
"Table 14—Area of timberland by survey unit and stand-size class, Virginia, 200 1","Table 14—Area of timberland by survey unit and stand-size class, Virginia, 200 1","Table 14—Area of timberland by survey unit and stand-size class, Virginia, 200 1","Table 14—Area of timberland by survey unit and stand-size class, Virginia, 200 1","Table 14—Area of timberland by survey unit and stand-size class, Virginia, 200 1","Table 14—Area of timberland by survey unit and stand-size class, Virginia, 200 1","Table 14—Area of timberland by survey unit and stand-size class, Virginia, 200 1","Table 14—Area of timberland by survey unit and stand-size class, Virginia, 200 1","Table 14—Area of timberland by survey unit and stand-size class, Virginia, 200 1",,,
,,,,,,Stand-size class,Stand-size class,Stand-size class,,,
Survey unit,Survey unit,All,Sawtimber,Sawtimber,,Poletimber,,Sapling-seedling,Sapling-seedling,Nonstocked,
,,thousand,thousand,thousand,%,thousand,%,thousand,%,thousand,%
,,acres,acres,acres,,acres,,acres,,acres,
Coastal Plain,Coastal Plain,"3,715.3","1,454.3","1,454.3",39,"1,322.0",36,939.0,25,0.0,0
Southern Piedmont,Southern Piedmont,"3,784.1","1,311.9","1,311.9",35,"1,397.9",37,"1,064.0",28,10.3,0
Northern Piedmont,Northern Piedmont,"2,270.3","1,164.7","1,164.7",51,798.9,35,296.2,13,10.5,0
Northern Mountains,Northern Mountains,"2,625.7","1,281.8","1,281.8",49,"1,175.3",45,167.1,6,1.5,0
Southern Mountains,Southern Mountains,"3,071.6","1,725.8","1,725.8",56,927.2,30,418.7,14,0.0,0
,All units,"15,467.0","6,938.5","6,938.5",45,"5,621.2",36,"2,885.0",19,22.3,0
Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,,,,,
"0.0 = a value of > 0.0 but  0 but 
    ","0.0 = a value of > 0.0 but  0 but 
    ","0.0 = a value of > 0.0 but  0 but 
    ","0.0 = a value of > 0.0 but  0 but 
    ","0.0 = a value of > 0.0 but  0 but 
    ","0.0 = a value of > 0.0 but  0 but 
    ","0.0 = a value of > 0.0 but  0 but 
    ",,,,,
Table 15—Area of timberland a,Table 15—Area of timberland a,Table 15—Area of timberland a,by ownership class and stand-,by ownership class and stand-,by ownership class and stand-,by ownership class and stand-,,Table 16—Area of timberland by stand-,Table 16—Area of timberland by stand-,Table 16—Area of timberland by stand-,
"size class, Virginia, 1992 and 2001","size class, Virginia, 1992 and 2001","size class, Virginia, 1992 and 2001",,,,,,"age class, Virginia, 2001","age class, Virginia, 2001",,
Ownership class,Ownership class,,,Year,,,,Stand-age class,,Timberland,
and stand-size class,and stand-size class,1992,,,2001,,,years,thousand,percent,
,,thousand,%,thousand,thousand,%,,,acres,,
,,acres,,acres,acres,,,,,,
,,,,,,,,0–20,"3,801.8",,25
Forest industry,Forest industry,,,,,,,21–40,"2,724.6",,18
,Sapling-seedling,564.6,37,,358.8,35,,41–60,"3,038.5",,20
,Poletimber,506.0,33,,408.2,40,,61–80,"3,484.6",,23
,Sawtimber,442.6,29,,252.3,25,,81+,"2,417.5",,16
,All,"1,513.2",100,"1,019.3","1,019.3",100,,Total,"15,467.0",100,
National forest,National forest,,,,,,,,,,
,,,,,,,,Numbers in columns may not sum to totals due,Numbers in columns may not sum to totals due,Numbers in columns may not sum to totals due,
,Sapling-seedling,124.5,9,,108.4,7,,to rounding.,,,
,Poletimber,497.7,34,,641.0,39,,,,,
,Sawtimber,841.1,57,,899.3,55,,,,,
,All,"1,463.3",100,"1,648.7","1,648.7",100,,,,,
Nonindustrial private,Nonindustrial private,,,,,,,,,,
,Sapling-seedling,"2,274.1",19,"2,373.3","2,373.3",20,,,,,
,Poletimber,"3,576.0",30,"4,330.8","4,330.8",36,,,,,
,Sawtimber,"6,005.9",51,"5,376.1","5,376.1",44,,,,,
,All,"11,856.0",100,"12,080.2","12,080.2",100,,,,,
Other public,Other public,,,,,,,,,,
,Sapling-seedling,70.9,14,,44.5,6,,,,,
,Poletimber,130.3,25,,241.1,35,,,,,
,Sawtimber,309.8,61,,410.8,59,,,,,
,All,511.0,100,,696.4,100,,,,,
Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,,,,,,,
a,Does not include acres of nonstocked stands.,Does not include acres of nonstocked stands.,Does not include acres of nonstocked stands.,,,,,,,,
,,,,,,,,,,,83
