Name: “Table 1 of 1 on page 134 of 164”,Name: “Table 1 of 1 on page 134 of 164”,Name: “Table 1 of 1 on page 134 of 164”,Name: “Table 1 of 1 on page 134 of 164”,Name: “Table 1 of 1 on page 134 of 164”,Name: “Table 1 of 1 on page 134 of 164”,Name: “Table 1 of 1 on page 134 of 164”,Name: “Table 1 of 1 on page 134 of 164”,Name: “Table 1 of 1 on page 134 of 164”,Name: “Table 1 of 1 on page 134 of 164”
Table: 132,Table: 132,Table: 132,Table: 132,Table: 132,Table: 132,Table: 132,Table: 132,Table: 132,Table: 132
,,,,,,,,,
,Appendix B—Data Reliability,Appendix B—Data Reliability,Appendix B—Data Reliability,Appendix B—Data Reliability,Appendix B—Data Reliability,,,,
Appendix table B.4—Sampling error approximations to which estimates are reliable at the 68.27 percent,Appendix table B.4—Sampling error approximations to which estimates are reliable at the 68.27 percent,Appendix table B.4—Sampling error approximations to which estimates are reliable at the 68.27 percent,Appendix table B.4—Sampling error approximations to which estimates are reliable at the 68.27 percent,Appendix table B.4—Sampling error approximations to which estimates are reliable at the 68.27 percent,Appendix table B.4—Sampling error approximations to which estimates are reliable at the 68.27 percent,Appendix table B.4—Sampling error approximations to which estimates are reliable at the 68.27 percent,Appendix table B.4—Sampling error approximations to which estimates are reliable at the 68.27 percent,Appendix table B.4—Sampling error approximations to which estimates are reliable at the 68.27 percent,Appendix table B.4—Sampling error approximations to which estimates are reliable at the 68.27 percent
"confidence interval, Virginia, 2001","confidence interval, Virginia, 2001","confidence interval, Virginia, 2001",,,,,,,
,,,,Live,,,Sawtimber,,
Sampling,,,Net,,,,Net,,
error a,Timberland,Volume,growth,Removals,Mortality,Volume,growth,Removals,Mortality
percent,acres,- - - - - - - - - million cubic feet - - - - - - - - -,- - - - - - - - - million cubic feet - - - - - - - - -,- - - - - - - - - million cubic feet - - - - - - - - -,- - - - - - - - - million cubic feet - - - - - - - - -,- - - - - - - - million board feet,- - - - - - - - million board feet,b,- - - - - - - -
1,"1,522.6",,,,,,,,
2,380.6,"14,166.1",,,,,,,
3,169.2,"6,296.1",571.8,,,"42,982.9","2,164.9",,
4,95.2,"3,541.5",321.7,,277.8,"24,177.6","1,217.8",,
5,60.9,"2,266.6",205.9,673.0,177.8,"15,473.7",779.3,,
10,15.2,566.6,51.5,168.3,44.4,"3,868.4",194.8,705.7,215.0
15,6.8,251.8,22.9,74.8,19.8,"1,719.3",86.6,313.6,95.6
20,3.8,141.7,12.9,42.1,11.1,967.1,48.7,176.4,"5,308.0"
25,1.6,90.7,8.2,26.9,7.1,619.0,31.2,112.9,34.4
a,Components for given sampling error derived by ratio approximation.,Components for given sampling error derived by ratio approximation.,Components for given sampling error derived by ratio approximation.,Components for given sampling error derived by ratio approximation.,,,,,
b,International 1/4-inch rule.,,,,,,,,
114,,,,,,,,,
