Name: “Table 1 of 1 on page 133 of 164”,Name: “Table 1 of 1 on page 133 of 164”,Name: “Table 1 of 1 on page 133 of 164”,Name: “Table 1 of 1 on page 133 of 164”,Name: “Table 1 of 1 on page 133 of 164”,Name: “Table 1 of 1 on page 133 of 164”
Table: 131,Table: 131,Table: 131,Table: 131,Table: 131,Table: 131
,,,,,
Appendix B—Data Reliability,Appendix B—Data Reliability,,,,
,,Sample estimate and 68.27,Sample estimate and 68.27,Sample estimate and 68.27,Sampling
Item,Item,percent confidence interval,percent confidence interval,percent confidence interval,error
,,,,,percent
Forest land (acres),Forest land (acres),"15,844,000.0 ±","15,844,000.0 ±","49,882.9",0.31
All live on timberland a,All live on timberland a,,,,
,Inventory,"30,619.6",±,410.3,1.34
,Net annual growth,990.0,±,22.6,2.28
,Annual removals,697.9,±,34.3,4.91
,Annual mortality,333.6 ±,333.6 ±,12.2,3.65
Growing stock on timberland a,Growing stock on timberland a,,,,
,Inventory,"27,200.6",±,391.7,1.44
,Net annual growth,947.8,±,21.6,2.28
,Annual removals,667.1,±,33.2,4.97
,Annual mortality,273.0 ±,273.0 ±,11.1,4.06
Sawtimber on timberland b c,Sawtimber on timberland b c,,,,
,Inventory,"89,551.7",±,"1,862.7",2.08
,Net annual growth,"3,848.7",±,86.6,2.25
,Annual removals,"2,250.3",±,126.0,5.6
,Annual mortality,716.1 ±,716.1 ±,39.2,5.48
a,Million cubic feet.,,,,
b,Million board feet.,,,,
c,International 1/4-inch rule.,,,,
,,,,,113
