Name: “Table 1 of 1 on page 95 of 164”,Name: “Table 1 of 1 on page 95 of 164”,Name: “Table 1 of 1 on page 95 of 164”,Name: “Table 1 of 1 on page 95 of 164”,Name: “Table 1 of 1 on page 95 of 164”
Table: 95,Table: 95,Table: 95,Table: 95,Table: 95
,,,,
Text Tables,,,,
Table 1—Forest land area as a percentage of total land,Table 1—Forest land area as a percentage of total land,Table 1—Forest land area as a percentage of total land,Table 1—Forest land area as a percentage of total land,
"area by survey unit, Virginia, 2001","area by survey unit, Virginia, 2001","area by survey unit, Virginia, 2001",,
,,Total,Total,Forest
Survey unit,,land area,forest area,land area
,,- - - thousand acres - - -,- - - thousand acres - - -,percent
Coastal Plain,Coastal Plain,"6,293.0","3,817.7",61
Southern Piedmont,Southern Piedmont,"5,597.4","3,784.1",68
Northern Piedmont,Northern Piedmont,"4,392.0","2,405.1",55
Northen Mountains,Northen Mountains,"4,290.2","2,744.3",64
Southern Mountains,Southern Mountains,"4,767.6","3,092.9",65
All units,,"25,340.1","15,844.0",63
Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,
"Table 2—Change in area of timberland by survey unit, Virginia,","Table 2—Change in area of timberland by survey unit, Virginia,","Table 2—Change in area of timberland by survey unit, Virginia,","Table 2—Change in area of timberland by survey unit, Virginia,",
1992 to 2001,,,,
,,Year,,
Survey unit,1992,2001,Change,Change
,- - - - - - - thousand acres - - - - - - -,- - - - - - - thousand acres - - - - - - -,- - - - - - - thousand acres - - - - - - -,percent
Coastal Plain,"3,702.3","3,715.3",13.0,0.4
Southern Piedmont,"3,778.3","3,784.1",5.8,0.2
Northern Piedmont,"2,426.6","2,270.3",-156.3,-6.4
Northern Mountains,"2,536.8","2,625.7",88.9,3.5
Southern Mountains,"3,003.6","3,071.6",68.0,2.3
All units,"15,447.6","15,467.0",19.4,0.1
Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,,
"Table 3—Area of forest land and timberland by ownership class,","Table 3—Area of forest land and timberland by ownership class,","Table 3—Area of forest land and timberland by ownership class,","Table 3—Area of forest land and timberland by ownership class,",
"Virginia, 2001",,,,
Ownership class,Forest land,Forest land,Timberland,
,thousand,percent,thousand,percent
,acres,,acres,
Public,"2,717.9",17,"2,346.7",15
Forest industry,"1,024.2",6,"1,024.2",7
Nonindustrial private,"12,101.9",76,"12,096.1",78
All classes,"15,844.0",100,"15,467.0",100
Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,Numbers in columns may not sum to totals due to rounding.,,
,,,,75
