Name: “Table 1 of 1 on page 106 of 164”,Name: “Table 1 of 1 on page 106 of 164”,Name: “Table 1 of 1 on page 106 of 164”,Name: “Table 1 of 1 on page 106 of 164”,Name: “Table 1 of 1 on page 106 of 164”,Name: “Table 1 of 1 on page 106 of 164”
Table: 106,Table: 106,Table: 106,Table: 106,Table: 106,Table: 106
,,,,,
Text Tables,,,,,
Table 20—Top 10 tree species dominant for total live volume on forest land by,Table 20—Top 10 tree species dominant for total live volume on forest land by,Table 20—Top 10 tree species dominant for total live volume on forest land by,Table 20—Top 10 tree species dominant for total live volume on forest land by,Table 20—Top 10 tree species dominant for total live volume on forest land by,Table 20—Top 10 tree species dominant for total live volume on forest land by
"survey unit, Virginia, 2001","survey unit, Virginia, 2001",,,,
,Coastal,Southern,Northern,Northern,Southern
Speciesa,Plain,Piedmont,Piedmont,Mountains,Mountains
,,Volume (million cubic feet ),Volume (million cubic feet ),Volume (million cubic feet ),
Yellow-poplar,"1,011.8","1,451.8","1,370.6",345.2,"1,353.4"
Loblolly pine,"3,343.9","1,073.9",284.1,9.3,10.2
Chestnut oak,71.1,464.1,564.1,"1,663.0","1,048.6"
White oak,835.2,911.6,869.9,686.1,426.0
Red maple,"1,032.8",723.9,448.0,442.8,765.9
Northern red oak,119.6,300.5,368.8,685.5,677.6
Virginia pine,274.1,938.4,485.2,174.7,111.4
Sweetgum,"1,117.8",414.7,152.6,0.0,6.4
Scarlet oak,173.5,209.2,231.3,449.1,375.8
Black oak,171.8,186.7,209.6,334.1,353.9
,,Percentage of total unit volume,Percentage of total unit volume,Percentage of total unit volume,
Yellow-poplar,9.4,15.7,19.7,5.0,15.7
Loblolly pine,31.0,11.6,4.1,0.1,0.1
Chestnut oak,0.7,5.0,8.1,24.0,12.2
White oak,7.8,9.9,12.5,9.9,5.0
Red maple,9.6,7.8,6.5,6.4,8.9
Northern red oak,1.1,3.3,5.3,9.9,7.9
Virginia pine,2.5,10.2,7.0,2.5,1.3
Sweetgum,10.4,4.5,2.2,0.0,0.1
Scarlet oak,1.6,2.3,3.3,6.5,4.4
Black oak,1.6,2.0,3.0,4.8,4.1
,,Percentage of total species volume in unit,Percentage of total species volume in unit,Percentage of total species volume in unit,
Yellow-poplar,18.3,26.2,24.8,6.2,24.5
Loblolly pine,70.8,22.7,6.0,0.2,0.2
Chestnut oak,1.9,12.2,14.8,43.6,27.5
White oak,22.4,24.4,23.3,18.4,11.4
Red maple,30.3,21.2,13.1,13.0,22.4
Northern red oak,5.6,14.0,17.1,31.9,31.5
Virginia pine,13.8,47.3,24.5,8.8,5.6
Sweetgum,66.1,24.5,9.0,0.0,0.4
Scarlet oak,12.1,14.5,16.1,31.2,26.1
Black oak,13.7,14.9,16.7,26.6,28.2
"0.0 = a value of > 0.0 but 
    ","0.0 = a value of > 0.0 but 
    ",,,,
a,Scientific names can be referenced in species list in appendix table C.1.,Scientific names can be referenced in species list in appendix table C.1.,Scientific names can be referenced in species list in appendix table C.1.,,
86,,,,,
