Name: “Table 1 of 1 on page 135 of 164”,Name: “Table 1 of 1 on page 135 of 164”,Name: “Table 1 of 1 on page 135 of 164”,Name: “Table 1 of 1 on page 135 of 164”
Table: 133,Table: 133,Table: 133,Table: 133
,,,
Appendix C—Species Lists,Appendix C—Species Lists,,
Trees,,,
Appendix table C.1—Common and scientific names of,Appendix table C.1—Common and scientific names of,Appendix table C.1—Common and scientific names of,
"tree species ≥ 1.0 inch in d.b.h. tallied in Virginia, 2001","tree species ≥ 1.0 inch in d.b.h. tallied in Virginia, 2001","tree species ≥ 1.0 inch in d.b.h. tallied in Virginia, 2001",
Common name,Common name,Scientific namea,
Softwoods,Softwoods,,
,Fraser fir,Abies fraseri (Pursh) Poir.,
,Atlantic white-cedar,Chamaecyparis thyoides (L.) B.S.P.,
,Eastern redcedar,Juniperus virginiana L.,
,Red spruce,,Picea rubens Sarg.
,Shortleaf pine,,Pinus echinata Mill.
,Table Mt. pine,,P. pungens Lamb.
,Pitch pine,,P. rigida Mill.
,Pond pine,,P. serotina Michx.
,Eastern white pine,,P. strobus L.
,Loblolly pine,,P. taeda L.
,Virginia pine,,P. virginiana Mill.
,Baldcypress,Taxodium distichum (L.) Rich.,
,Pondcypress,T. distichum var. nutans (Ait.) Sweet,
,Eastern hemlock,Tsuga canadensis (L.) Carr.,
,Carolina hemlock,T. caroliniana Engelm.,
Hardwoods,Hardwoods,,
,Florida maple,Acer barbatum Michx.,
,Boxelder,,A. negundo L.
,Striped maple,A. pensylvanicum L.,
,Red maple,,A. rubrum L.
,Sugar maple,A. saccharum Marsh.,
,Mountain maple,,A. spicatum Lam.
,Yellow buckeye,Aesculus octandra Marsh.,
,Ailanthus,Ailanthus altissima (Mill.) Swingle,
,Serviceberry,Amelanchier spp. Medic.,
,Yellow birch,Betula alleghaniensis Britton,
,Sweet birch,,B. lenta L.
,River birch,,B. nigra L.
,American hornbeam,Carpinus caroliniana Walt.,
,Bitternut hickory,Carya cordiformis (Wangenh.) K. Koch,
,Pignut hickory,C. glabra (Mill.) Sweet,
,Pecan,C. illinoinensis (Wangenh.) K. Koch,
,Shagbark hickory,C. ovata (Mill.) K. Koch,
,Mockernut hickory,C. tomentosa (Poir.) Nutt.,
,American chestnut,Castanea dentata (Marsh.) Borkh.,
,Allegheny chinkapin,,C. pumila Mill.
,,,continued
,,,115
