Name: “Table 1 of 1 on page 149 of 164”,Name: “Table 1 of 1 on page 149 of 164”,Name: “Table 1 of 1 on page 149 of 164”,Name: “Table 1 of 1 on page 149 of 164”,Name: “Table 1 of 1 on page 149 of 164”,Name: “Table 1 of 1 on page 149 of 164”,Name: “Table 1 of 1 on page 149 of 164”,Name: “Table 1 of 1 on page 149 of 164”,Name: “Table 1 of 1 on page 149 of 164”
Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146,Table: 146
,,,,,,,,
Appendix D—Supplemental Tables,Appendix D—Supplemental Tables,Appendix D—Supplemental Tables,Appendix D—Supplemental Tables,,,,,
"Appendix table D.15—Volume of sawtimber on timberland by ownership class and species group, Virginia, 2001","Appendix table D.15—Volume of sawtimber on timberland by ownership class and species group, Virginia, 2001","Appendix table D.15—Volume of sawtimber on timberland by ownership class and species group, Virginia, 2001","Appendix table D.15—Volume of sawtimber on timberland by ownership class and species group, Virginia, 2001","Appendix table D.15—Volume of sawtimber on timberland by ownership class and species group, Virginia, 2001","Appendix table D.15—Volume of sawtimber on timberland by ownership class and species group, Virginia, 2001","Appendix table D.15—Volume of sawtimber on timberland by ownership class and species group, Virginia, 2001","Appendix table D.15—Volume of sawtimber on timberland by ownership class and species group, Virginia, 2001","Appendix table D.15—Volume of sawtimber on timberland by ownership class and species group, Virginia, 2001"
,,,,Softwoods,,,Hardwoods,
,,All,All,Yellow,Other,All,Soft,Hard
Ownership class,Ownership class,species,softwood,pine,softwood,hardwood,hardwood,hardwood
,,,,All size classes (million board feet a ),All size classes (million board feet a ),All size classes (million board feet a ),,
National forest,National forest,"8,999.9","1,528.8","1,269.9",259.0,"7,471.1","1,800.9","5,670.2"
Other public,Other public,"5,680.2","1,900.5","1,766.2",134.3,"3,779.7","1,826.0","1,953.6"
Forest industry,Forest industry,"3,521.3","1,361.1","1,336.0",25.1,"2,160.1",940.1,"1,220.1"
Nonindustrial private,Nonindustrial private,"71,350.4","17,529.2","16,579.2",950.0,"53,821.2","23,376.6","30,444.6"
,All classes,"89,551.7","22,319.7","20,951.3","1,368.4","67,232.0","27,943.6","39,288.5"
,,,Trees ≥ 15.0 inches d.b.h. (million board feet a ),Trees ≥ 15.0 inches d.b.h. (million board feet a ),Trees ≥ 15.0 inches d.b.h. (million board feet a ),Trees ≥ 15.0 inches d.b.h. (million board feet a ),,
National forest,National forest,"5,665.2",610.9,479.5,131.4,"5,054.4","1,324.0","3,730.4"
Other public,Other public,"3,899.2",995.0,875.2,119.8,"2,904.2","1,452.7","1,451.4"
Forest industry,Forest industry,"1,795.0",338.1,319.5,18.6,"1,456.9",606.9,850.0
Nonindustrial private,Nonindustrial private,"43,347.4","6,566.7","5,976.6",590.2,"36,780.7","16,067.2","20,713.5"
,All classes,"54,706.9","8,510.8","7,650.8",860.0,"46,196.1","19,450.8","26,745.3"
Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,Numbers in rows and columns may not sum to totals due to rounding.,,,,
a,International 1/4-inch rule.,International 1/4-inch rule.,,,,,,
,,,,,,,,129
