State Park Name,Lat|Lon Coordinates
Bear Creek Lake,N 37 31.834,W 78 16.136
Belle Isle,N 37 46.768,W 76 35.550
Caledon,N 38 19.915,W 77 8.735
Claytor Lake,N 37 3.449,W 80 37.266
Central Office,N 37 32.261,W 77 25.896
Chippokes Plantation,N 37 8.717,W 76 44.319
Douthat,N 37 54.243,W 79 48.018
False Cape,N 36 38.528,W 75 54.142
First Landing,N 36 54.980,W 76 2.462
Fairy Stone,N 36 47.921,W 80 6.574
Grayson Highlands,N 36 37.406,W 81 29.903
High Bridge Trail,N 37 18.427,W 78 23.208
Holliday Lake,N 37 23.986,W 78 38.458
Hungry Mother,N 36 53.039,W 81 31.608
James River,N 37 37.418,W 78 47.969
Kiptopeke,N 37 10.354,W 75 58.606
Lake Anna,N 38 8.478,W 77 49.048
Leesylvania,N 38 38.544,W 77 11.898
Mason Neck,N 38 38.557,W 77 11.833
New River Trail (Foster Fall),N 36 53.035,W 80 51.379
New River (Cliffview Station),N 36 40.866,W 80 55.083
Natural Tunnel,N 36 42.236,W 82 44.287
Occoneechee,N 36 37.828,W 78 31.625
Pocahontas,N 37 23.084,W 77 34.984
Sailor's Creek Battlefield,N 37 18.609,W 78 13.316
Shenandoah River (Andy Guest),N 38 51.751,W 78 18.455
Sky Meadows,N 38 59.139,W 77 57.546
Smith Mountain Lake,N 37 5.498,W 79 35.478
Staunton River,N 36 41.868,W 78 40.622
Staunton River Bridge,N 36 53.002,W 78 42.368
Southwest Virginia Museum,N 36 51.825,W 82 46.797
Twin Lakes,N 37 10.539,W 78 16.725
Westmoreland,N 38 9.255,W 76 52.351
Wilderness Road,N 36 37.871,W 83 29.877
York River,N 37 24.719,W 76 42.849
Breaks Interstate Park (Va.-Ky.),N 37 17.183,W 82 17.611
