Name: “Table 1 of 1 on page 13 of 16”,Name: “Table 1 of 1 on page 13 of 16”,Name: “Table 1 of 1 on page 13 of 16”,Name: “Table 1 of 1 on page 13 of 16”,Name: “Table 1 of 1 on page 13 of 16”,Name: “Table 1 of 1 on page 13 of 16”,Name: “Table 1 of 1 on page 13 of 16”,Name: “Table 1 of 1 on page 13 of 16”
Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13,Table: 13
,,,,,,,
Table 2. Wood properties by species.,Table 2. Wood properties by species.,Table 2. Wood properties by species.,,,,,
Strength,Ailanthus,Sugar,Black,Southern,White,Beech,Yellow
Property,(Virginia),Maple,Oak,Red Oak,Ash,,Birch
Hardness,"1,282","1,450","1,210","1,060","1,320","1,300","1,260"
"(max. load, lbs.)",,,,,,,
Specific Gravity,0.62,0.63,0.61,0.59,0.60,0.64,0.62
Shear (psi),"2,147","2,330","1,910","1,390","1,910","2,010","1,880"
TBeennsdiionng  ((ppssii)),"148,81025","15,-800","13,-900","105,19000","159,40000","114,,091000","169,26000"
,,,,,,,13
