Name: “Table 1 of 1 on page 2 of 82”,Name: “Table 1 of 1 on page 2 of 82”,Name: “Table 1 of 1 on page 2 of 82”
Table: 2,Table: 2,Table: 2
,,
,TABLE INDEX,
Table 1. George Washington National Forest MIS ................................................................................... 4,Table 1. George Washington National Forest MIS ................................................................................... 4,Table 1. George Washington National Forest MIS ................................................................................... 4
Table 2. Jefferson National Forest MIS..................................................................................................... 5,Table 2. Jefferson National Forest MIS..................................................................................................... 5,Table 2. Jefferson National Forest MIS..................................................................................................... 5
Table 3. Transportation System Trend on the Jefferson National Forest .................................................. 5,Table 3. Transportation System Trend on the Jefferson National Forest .................................................. 5,Table 3. Transportation System Trend on the Jefferson National Forest .................................................. 5
Table 4. Transportation System Trend on the George Washington National Forest................................. 5,Table 4. Transportation System Trend on the George Washington National Forest................................. 5,Table 4. Transportation System Trend on the George Washington National Forest................................. 5
Table 5. Management Activities Trend on George Washington National Forest Only............................. 6,Table 5. Management Activities Trend on George Washington National Forest Only............................. 6,Table 5. Management Activities Trend on George Washington National Forest Only............................. 6
Table 6. Management Activities Trend on Jefferson National Forest Only .............................................. 7,Table 6. Management Activities Trend on Jefferson National Forest Only .............................................. 7,Table 6. Management Activities Trend on Jefferson National Forest Only .............................................. 7
Table 7. Combined Management Activities Trend Across Both Forests .................................................. 8,Table 7. Combined Management Activities Trend Across Both Forests .................................................. 8,Table 7. Combined Management Activities Trend Across Both Forests .................................................. 8
Table 8. GWJNF Age Class Distribution for All Forested Land 1989 and 2000...................................... 9,Table 8. GWJNF Age Class Distribution for All Forested Land 1989 and 2000...................................... 9,Table 8. GWJNF Age Class Distribution for All Forested Land 1989 and 2000...................................... 9
Table 9. GWJNF Age Class Distribution for All Forested Land 1989 and 2004 (last 15 years) ............ 10,Table 9. GWJNF Age Class Distribution for All Forested Land 1989 and 2004 (last 15 years) ............ 10,Table 9. GWJNF Age Class Distribution for All Forested Land 1989 and 2004 (last 15 years) ............ 10
"Table 10. Forest Age Class, 1986 & 1992, All Virginia Forestland........................................................ 12","Table 10. Forest Age Class, 1986 & 1992, All Virginia Forestland........................................................ 12","Table 10. Forest Age Class, 1986 & 1992, All Virginia Forestland........................................................ 12"
"Table 11. White-tailed Deer Population Index Trend Across the GWNF, 1994 to 2002........................ 12","Table 11. White-tailed Deer Population Index Trend Across the GWNF, 1994 to 2002........................ 12","Table 11. White-tailed Deer Population Index Trend Across the GWNF, 1994 to 2002........................ 12"
"Table 12. White-tailed Deer Population Index Trend Across the JNF, 1994 to 2002............................. 13","Table 12. White-tailed Deer Population Index Trend Across the JNF, 1994 to 2002............................. 13","Table 12. White-tailed Deer Population Index Trend Across the JNF, 1994 to 2002............................. 13"
"Table 13. White-tailed Deer Population Index Trend Across Shared Counties, 1994 to 2002 ............... 13","Table 13. White-tailed Deer Population Index Trend Across Shared Counties, 1994 to 2002 ............... 13","Table 13. White-tailed Deer Population Index Trend Across Shared Counties, 1994 to 2002 ............... 13"
Table 14. Inventoried Remote Habitat Trend by National Forest ........................................................... 15,Table 14. Inventoried Remote Habitat Trend by National Forest ........................................................... 15,Table 14. Inventoried Remote Habitat Trend by National Forest ........................................................... 15
"Table 15. Virginia’s Black Bear PopulationTrend, 1989 to 1998 ........................................................... 16","Table 15. Virginia’s Black Bear PopulationTrend, 1989 to 1998 ........................................................... 16","Table 15. Virginia’s Black Bear PopulationTrend, 1989 to 1998 ........................................................... 16"
"Table 16. Wild Turkey Population Index Trend Across the GWNF, 1997 to 2003 ................................ 18","Table 16. Wild Turkey Population Index Trend Across the GWNF, 1997 to 2003 ................................ 18","Table 16. Wild Turkey Population Index Trend Across the GWNF, 1997 to 2003 ................................ 18"
"Table 17. Wild Turkey Population Index Trend Across the JNF, 1997 to 2003 ..................................... 18","Table 17. Wild Turkey Population Index Trend Across the JNF, 1997 to 2003 ..................................... 18","Table 17. Wild Turkey Population Index Trend Across the JNF, 1997 to 2003 ..................................... 18"
"Table 18. Wild Turkey Population Index Trend Across the Forests’ Shared Counties, 1997 to 2003.... 19","Table 18. Wild Turkey Population Index Trend Across the Forests’ Shared Counties, 1997 to 2003.... 19","Table 18. Wild Turkey Population Index Trend Across the Forests’ Shared Counties, 1997 to 2003.... 19"
Table 19. Age and Amount of Young Forests within 100 Feet of Perennial Streams............................. 21,Table 19. Age and Amount of Young Forests within 100 Feet of Perennial Streams............................. 21,Table 19. Age and Amount of Young Forests within 100 Feet of Perennial Streams............................. 21
"Table 20. Trend in Barred Owls Seen or Heard Across Forest, 1994 to 2002 ........................................ 22","Table 20. Trend in Barred Owls Seen or Heard Across Forest, 1994 to 2002 ........................................ 22","Table 20. Trend in Barred Owls Seen or Heard Across Forest, 1994 to 2002 ........................................ 22"
Table 21. Bat Population Trend in Clark’s Cave..................................................................................... 25,Table 21. Bat Population Trend in Clark’s Cave..................................................................................... 25,Table 21. Bat Population Trend in Clark’s Cave..................................................................................... 25
Table 22. Bat Population Trend in Hupman’s Saltpetre Cave................................................................. 25,Table 22. Bat Population Trend in Hupman’s Saltpetre Cave................................................................. 25,Table 22. Bat Population Trend in Hupman’s Saltpetre Cave................................................................. 25
Table 23. Bat Population Trend in Mountain Grove Saltpetre Cave....................................................... 26,Table 23. Bat Population Trend in Mountain Grove Saltpetre Cave....................................................... 26,Table 23. Bat Population Trend in Mountain Grove Saltpetre Cave....................................................... 26
Table 24. Bat Population Trend in Starr Chapel Cave............................................................................. 26,Table 24. Bat Population Trend in Starr Chapel Cave............................................................................. 26,Table 24. Bat Population Trend in Starr Chapel Cave............................................................................. 26
