Name: “Table 1 of 1 on page 10 of 82”,Name: “Table 1 of 1 on page 10 of 82”,Name: “Table 1 of 1 on page 10 of 82”,Name: “Table 1 of 1 on page 10 of 82”,Name: “Table 1 of 1 on page 10 of 82”,Name: “Table 1 of 1 on page 10 of 82”,Name: “Table 1 of 1 on page 10 of 82”,Name: “Table 1 of 1 on page 10 of 82”,Name: “Table 1 of 1 on page 10 of 82”,Name: “Table 1 of 1 on page 10 of 82”,Name: “Table 1 of 1 on page 10 of 82”,Name: “Table 1 of 1 on page 10 of 82”,Name: “Table 1 of 1 on page 10 of 82”
Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10,Table: 10
,,,,,,,,,,,,
,Table 9. GWJNF Age Class Distribution for All Forested Land 1989 and 2004 (last 15 years),Table 9. GWJNF Age Class Distribution for All Forested Land 1989 and 2004 (last 15 years),Table 9. GWJNF Age Class Distribution for All Forested Land 1989 and 2004 (last 15 years),Table 9. GWJNF Age Class Distribution for All Forested Land 1989 and 2004 (last 15 years),Table 9. GWJNF Age Class Distribution for All Forested Land 1989 and 2004 (last 15 years),Table 9. GWJNF Age Class Distribution for All Forested Land 1989 and 2004 (last 15 years),Table 9. GWJNF Age Class Distribution for All Forested Land 1989 and 2004 (last 15 years),Table 9. GWJNF Age Class Distribution for All Forested Land 1989 and 2004 (last 15 years),Table 9. GWJNF Age Class Distribution for All Forested Land 1989 and 2004 (last 15 years),Table 9. GWJNF Age Class Distribution for All Forested Land 1989 and 2004 (last 15 years),Table 9. GWJNF Age Class Distribution for All Forested Land 1989 and 2004 (last 15 years),
,Jefferson National Forest,Jefferson National Forest,Jefferson National Forest,,George Washington National Forest,George Washington National Forest,George Washington National Forest,George Washington National Forest,Combined GW&JNFs,Combined GW&JNFs,Combined GW&JNFs,
Age,1989,%,2004,%,1989,%,2004,%,1989,%,2004,%
0-10,26269,3.9,4167,1,44367,4.3,10835,1,70636,4.1,15002,0.9
11-20,25682,3.8,18303,3,32524,3.1,27261,3,58206,3.4,45564,2.6
21-30,13122,1.9,16178,2,22987,2.2,26279,3,36109,2.1,42457,2.5
31-40,6967,1.0,26355,4,3309,0.3,38930,4,10276,0.6,65285,3.8
41-50,29840,4.4,8086,1,5490,0.5,5102,1,35330,2.1,13188,0.8
51-60,121277,17.9,13861,2,31822,3.1,4077,0,153099,8.9,17938,1.0
61-70,173584,25.6,66707,9,101660,9.8,15297,2,275244,16.1,82004,4.8
71-80,115851,17.1,163347,23,214257,20.7,61378,6,330108,19.3,224725,13.0
81-90,55392,8.3,162151,23,218002,21.1,162741,16,273394,16.0,324892,18.9
91-100,29911,4.4,87287,12,115456,11.2,223469,22,145367,8.5,310756,18.0
101-110,43927,6.5,41877,6,79291,7.7,170983,17,123218,7.2,212860,12.4
111-120,17835,2.6,34052,5,63294,6.1,74508,7,81129,4.7,108560,6.3
121-130,9499,1.4,40014,6,33702,3.3,67878,7,43201,2.5,107892,6.3
131-140,4860,0.7,14125,2,26012,2.5,46137,5,30872,1.8,60262,3.5
141-150+,3149,0.5,9740,2,42546,4.1,80670,8,45695,2.7,90410,5.2
TOTAL,677165,100,706250,100,1034719,100,1015545,100,1711884,100,1721795,100
(Source: Continuous Inventory of Stand Conditions (CISC) for GWJNF dataset of 12-1-89 and GIS Stands Attribute Table of 3-29-04),(Source: Continuous Inventory of Stand Conditions (CISC) for GWJNF dataset of 12-1-89 and GIS Stands Attribute Table of 3-29-04),(Source: Continuous Inventory of Stand Conditions (CISC) for GWJNF dataset of 12-1-89 and GIS Stands Attribute Table of 3-29-04),(Source: Continuous Inventory of Stand Conditions (CISC) for GWJNF dataset of 12-1-89 and GIS Stands Attribute Table of 3-29-04),(Source: Continuous Inventory of Stand Conditions (CISC) for GWJNF dataset of 12-1-89 and GIS Stands Attribute Table of 3-29-04),(Source: Continuous Inventory of Stand Conditions (CISC) for GWJNF dataset of 12-1-89 and GIS Stands Attribute Table of 3-29-04),(Source: Continuous Inventory of Stand Conditions (CISC) for GWJNF dataset of 12-1-89 and GIS Stands Attribute Table of 3-29-04),(Source: Continuous Inventory of Stand Conditions (CISC) for GWJNF dataset of 12-1-89 and GIS Stands Attribute Table of 3-29-04),(Source: Continuous Inventory of Stand Conditions (CISC) for GWJNF dataset of 12-1-89 and GIS Stands Attribute Table of 3-29-04),(Source: Continuous Inventory of Stand Conditions (CISC) for GWJNF dataset of 12-1-89 and GIS Stands Attribute Table of 3-29-04),(Source: Continuous Inventory of Stand Conditions (CISC) for GWJNF dataset of 12-1-89 and GIS Stands Attribute Table of 3-29-04),(Source: Continuous Inventory of Stand Conditions (CISC) for GWJNF dataset of 12-1-89 and GIS Stands Attribute Table of 3-29-04),
2001 Through 2003 Monitoring and Evaluation Report,2001 Through 2003 Monitoring and Evaluation Report,2001 Through 2003 Monitoring and Evaluation Report,2001 Through 2003 Monitoring and Evaluation Report,2001 Through 2003 Monitoring and Evaluation Report,June 2004,Appendix G Page 10 of 82,Appendix G Page 10 of 82,Appendix G Page 10 of 82,Appendix G Page 10 of 82,,,
