Name: “Table 1 of 1 on page 7 of 82”,Name: “Table 1 of 1 on page 7 of 82”,Name: “Table 1 of 1 on page 7 of 82”,Name: “Table 1 of 1 on page 7 of 82”,Name: “Table 1 of 1 on page 7 of 82”,Name: “Table 1 of 1 on page 7 of 82”
Table: 7,Table: 7,Table: 7,Table: 7,Table: 7,Table: 7
,,,,,
Table 6. Management Activities Trend on Jefferson National Forest Only,Table 6. Management Activities Trend on Jefferson National Forest Only,Table 6. Management Activities Trend on Jefferson National Forest Only,Table 6. Management Activities Trend on Jefferson National Forest Only,Table 6. Management Activities Trend on Jefferson National Forest Only,Table 6. Management Activities Trend on Jefferson National Forest Only
,,,Prescribed,Gypsy Moth,Road
,Timber Harvest,Timber Cut,,,
Year,,,Burning,Aerial Spraying,Construction
,(Acres),(Million Bd. Ft.),,,
,,,(Acres),(Acres),(Miles)
1976,N/A,16.8,N/A,0,N/A
1977,N/A,8.8,N/A,0,N/A
1978,N/A,6.8,N/A,0,N/A
1979,N/A,14.5,N/A,0,20
1980,N/A,15.1,N/A,0,21
1981,N/A,17.3,N/A,0,26
1982,N/A,17.1,N/A,0,N/A
1983,N/A,21.8,N/A,0,N/A
1984,N/A,21.2,N/A,0,40.1
1985,N/A,28.0,N/A,0,33.1
1986,"2,854",30.6,466,0,23.9
1987,"2,498",25.7,983,0,18.1
1988,"2,945",28.7,935,"16,334",18.7
1989,"1,850",21.2,"1,232","13,818",7.2
1990,"1,897",28.9,"1,718",0,3.0
1991,"2,699",32.5,"1,411",0,8.5
1992,"2,023",19.1,963,343,4.8
1993,"2,397",25.4,"1,245",0,7.7
1994,"2,438",20.1,"1,233",0,2.6
1995,"1,715",22.3,"1,353",0,1.3
1996,"1,218",17.7,775,0,1.25
1997,"1,682",9.4,"2,323",0,1.0
1998,"1,293",11.3,"5,310",0,0.6
1999,942,14.8,"2,462",0,0.0
2000,"1,115",9.6,994,0,0.0
2001,795,7.3,"2,715",643,0.0
2002,332,4.3,"3,228","2,706",0.0
2003,226,3.8,"3,207",0,0.2
N/A: Information Not Available,N/A: Information Not Available,,,,
Volume Harvested utilizes 0.66 conversion factor from cubic feet for comparison with previous years.,Volume Harvested utilizes 0.66 conversion factor from cubic feet for comparison with previous years.,Volume Harvested utilizes 0.66 conversion factor from cubic feet for comparison with previous years.,Volume Harvested utilizes 0.66 conversion factor from cubic feet for comparison with previous years.,Volume Harvested utilizes 0.66 conversion factor from cubic feet for comparison with previous years.,Volume Harvested utilizes 0.66 conversion factor from cubic feet for comparison with previous years.
2001 Through 2003 Monitoring and Evaluation Report,2001 Through 2003 Monitoring and Evaluation Report,2001 Through 2003 Monitoring and Evaluation Report,June 2004,Appendix G Page 7 of 82,Appendix G Page 7 of 82
