Name: “Table 1 of 1 on page 61 of 82”,Name: “Table 1 of 1 on page 61 of 82”,Name: “Table 1 of 1 on page 61 of 82”,Name: “Table 1 of 1 on page 61 of 82”,Name: “Table 1 of 1 on page 61 of 82”,Name: “Table 1 of 1 on page 61 of 82”,Name: “Table 1 of 1 on page 61 of 82”,Name: “Table 1 of 1 on page 61 of 82”,Name: “Table 1 of 1 on page 61 of 82”,Name: “Table 1 of 1 on page 61 of 82”,Name: “Table 1 of 1 on page 61 of 82”,Name: “Table 1 of 1 on page 61 of 82”,Name: “Table 1 of 1 on page 61 of 82”
Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61,Table: 61
,,,,,,,,,,,,
Table 48. Northern Flying Squirrel Trend by Site Across the GWJNF,Table 48. Northern Flying Squirrel Trend by Site Across the GWJNF,Table 48. Northern Flying Squirrel Trend by Site Across the GWJNF,Table 48. Northern Flying Squirrel Trend by Site Across the GWJNF,Table 48. Northern Flying Squirrel Trend by Site Across the GWJNF,Table 48. Northern Flying Squirrel Trend by Site Across the GWJNF,Table 48. Northern Flying Squirrel Trend by Site Across the GWJNF,Table 48. Northern Flying Squirrel Trend by Site Across the GWJNF,Table 48. Northern Flying Squirrel Trend by Site Across the GWJNF,Table 48. Northern Flying Squirrel Trend by Site Across the GWJNF,Table 48. Northern Flying Squirrel Trend by Site Across the GWJNF,Table 48. Northern Flying Squirrel Trend by Site Across the GWJNF,Table 48. Northern Flying Squirrel Trend by Site Across the GWJNF
Number of Individuals captured/10 boxes checked and the total number of G.sabrinus captured (in,Number of Individuals captured/10 boxes checked and the total number of G.sabrinus captured (in,Number of Individuals captured/10 boxes checked and the total number of G.sabrinus captured (in,Number of Individuals captured/10 boxes checked and the total number of G.sabrinus captured (in,Number of Individuals captured/10 boxes checked and the total number of G.sabrinus captured (in,Number of Individuals captured/10 boxes checked and the total number of G.sabrinus captured (in,Number of Individuals captured/10 boxes checked and the total number of G.sabrinus captured (in,Number of Individuals captured/10 boxes checked and the total number of G.sabrinus captured (in,Number of Individuals captured/10 boxes checked and the total number of G.sabrinus captured (in,Number of Individuals captured/10 boxes checked and the total number of G.sabrinus captured (in,Number of Individuals captured/10 boxes checked and the total number of G.sabrinus captured (in,Number of Individuals captured/10 boxes checked and the total number of G.sabrinus captured (in,
"parenthesis) in Virginia from 1986 to 1996 (From Reynolds, in press), and 2002 (Pagels, annual report)","parenthesis) in Virginia from 1986 to 1996 (From Reynolds, in press), and 2002 (Pagels, annual report)","parenthesis) in Virginia from 1986 to 1996 (From Reynolds, in press), and 2002 (Pagels, annual report)","parenthesis) in Virginia from 1986 to 1996 (From Reynolds, in press), and 2002 (Pagels, annual report)","parenthesis) in Virginia from 1986 to 1996 (From Reynolds, in press), and 2002 (Pagels, annual report)","parenthesis) in Virginia from 1986 to 1996 (From Reynolds, in press), and 2002 (Pagels, annual report)","parenthesis) in Virginia from 1986 to 1996 (From Reynolds, in press), and 2002 (Pagels, annual report)","parenthesis) in Virginia from 1986 to 1996 (From Reynolds, in press), and 2002 (Pagels, annual report)","parenthesis) in Virginia from 1986 to 1996 (From Reynolds, in press), and 2002 (Pagels, annual report)","parenthesis) in Virginia from 1986 to 1996 (From Reynolds, in press), and 2002 (Pagels, annual report)","parenthesis) in Virginia from 1986 to 1996 (From Reynolds, in press), and 2002 (Pagels, annual report)","parenthesis) in Virginia from 1986 to 1996 (From Reynolds, in press), and 2002 (Pagels, annual report)","parenthesis) in Virginia from 1986 to 1996 (From Reynolds, in press), and 2002 (Pagels, annual report)"
"Sites 1 through 4 are located in Grayson and Smyth Counties, sites 5 and 6 are located in Highland County.","Sites 1 through 4 are located in Grayson and Smyth Counties, sites 5 and 6 are located in Highland County.","Sites 1 through 4 are located in Grayson and Smyth Counties, sites 5 and 6 are located in Highland County.","Sites 1 through 4 are located in Grayson and Smyth Counties, sites 5 and 6 are located in Highland County.","Sites 1 through 4 are located in Grayson and Smyth Counties, sites 5 and 6 are located in Highland County.","Sites 1 through 4 are located in Grayson and Smyth Counties, sites 5 and 6 are located in Highland County.","Sites 1 through 4 are located in Grayson and Smyth Counties, sites 5 and 6 are located in Highland County.","Sites 1 through 4 are located in Grayson and Smyth Counties, sites 5 and 6 are located in Highland County.","Sites 1 through 4 are located in Grayson and Smyth Counties, sites 5 and 6 are located in Highland County.","Sites 1 through 4 are located in Grayson and Smyth Counties, sites 5 and 6 are located in Highland County.","Sites 1 through 4 are located in Grayson and Smyth Counties, sites 5 and 6 are located in Highland County.","Sites 1 through 4 are located in Grayson and Smyth Counties, sites 5 and 6 are located in Highland County.","Sites 1 through 4 are located in Grayson and Smyth Counties, sites 5 and 6 are located in Highland County."
Year,,86-87,87-88,88-89,89-90,90-91,91-92,92-93,93-94,94-95,95-96,2002
Cabin Creek,Site #1,0.2(2),1.6(13),0.9(7),1.5(12),1.0(6),1.6(9) 0.0(0) 1.4(5) 1.4(8) 0.6(2),1.6(9) 0.0(0) 1.4(5) 1.4(8) 0.6(2),1.6(9) 0.0(0) 1.4(5) 1.4(8) 0.6(2),1.6(9) 0.0(0) 1.4(5) 1.4(8) 0.6(2),1.6(9) 0.0(0) 1.4(5) 1.4(8) 0.6(2),0.1(5)
Whitetop,Site #2,0.4(4),0.8(6),0.0(0),0.6(5),0.0(0),0.0(0) 0.0(0) 0.5(2) 0.5(3) 1.3(2) 0.09(12),0.0(0) 0.0(0) 0.5(2) 0.5(3) 1.3(2) 0.09(12),0.0(0) 0.0(0) 0.5(2) 0.5(3) 1.3(2) 0.09(12),0.0(0) 0.0(0) 0.5(2) 0.5(3) 1.3(2) 0.09(12),0.0(0) 0.0(0) 0.5(2) 0.5(3) 1.3(2) 0.09(12),0.0(0) 0.0(0) 0.5(2) 0.5(3) 1.3(2) 0.09(12)
Opossum,Site #3*,0.0(0),0.0(0),0.0(0),0.13(1),0.0(0),,,,,,
