Name: “Table 1 of 1 on page 56 of 82”,Name: “Table 1 of 1 on page 56 of 82”,Name: “Table 1 of 1 on page 56 of 82”,Name: “Table 1 of 1 on page 56 of 82”,Name: “Table 1 of 1 on page 56 of 82”,Name: “Table 1 of 1 on page 56 of 82”
Table: 56,Table: 56,Table: 56,Table: 56,Table: 56,Table: 56
,,,,,
Table 46. Yellow Pine Community Trend From Forest Survey Data Across GWJNF,Table 46. Yellow Pine Community Trend From Forest Survey Data Across GWJNF,Table 46. Yellow Pine Community Trend From Forest Survey Data Across GWJNF,Table 46. Yellow Pine Community Trend From Forest Survey Data Across GWJNF,Table 46. Yellow Pine Community Trend From Forest Survey Data Across GWJNF,Table 46. Yellow Pine Community Trend From Forest Survey Data Across GWJNF
,,in Virginia,,,
,,(Acres),,,
,Virginia Mountain,,,,
Forest Type,,1977,1986,1992,2001
,Region*,,,,
Virginia Pine,Northern Mt.,"17,857","12,649","8,966","3,521"
,Southern Mt.,N/A,"4,227","4,204","4,763"
Pitch Pine,Northern Mt.,"39,188","30,496","26,818","28,673"
,Southern Mt.,"4,738","3,772","3,773","5,631"
Table Mt. Pine,Northern Mt.,"16,718","25,555","29,627","22,894"
,Southern Mt.,"5,494","12,767","7,924","4,575"
Subtotal Pines,All Regions,"66,138","91,452","83,304","72,058"
* Separate Reports: Table 10 of Forest Statistics for National Forest land only for the Northern and,* Separate Reports: Table 10 of Forest Statistics for National Forest land only for the Northern and,* Separate Reports: Table 10 of Forest Statistics for National Forest land only for the Northern and,* Separate Reports: Table 10 of Forest Statistics for National Forest land only for the Northern and,* Separate Reports: Table 10 of Forest Statistics for National Forest land only for the Northern and,* Separate Reports: Table 10 of Forest Statistics for National Forest land only for the Northern and
"Southern Regions of Virginia, 1977, 1986, and 1992 (2002 data not yet available from FS Southern","Southern Regions of Virginia, 1977, 1986, and 1992 (2002 data not yet available from FS Southern","Southern Regions of Virginia, 1977, 1986, and 1992 (2002 data not yet available from FS Southern","Southern Regions of Virginia, 1977, 1986, and 1992 (2002 data not yet available from FS Southern","Southern Regions of Virginia, 1977, 1986, and 1992 (2002 data not yet available from FS Southern","Southern Regions of Virginia, 1977, 1986, and 1992 (2002 data not yet available from FS Southern"
,Research Station),Research Station),,,
Based on CISC information the number of acres of yellow pine forest types across the GWNF has,Based on CISC information the number of acres of yellow pine forest types across the GWNF has,Based on CISC information the number of acres of yellow pine forest types across the GWNF has,Based on CISC information the number of acres of yellow pine forest types across the GWNF has,Based on CISC information the number of acres of yellow pine forest types across the GWNF has,Based on CISC information the number of acres of yellow pine forest types across the GWNF has
decreased over the past 11 years with the reduction being 2.1%. The changes may be greater than,decreased over the past 11 years with the reduction being 2.1%. The changes may be greater than,decreased over the past 11 years with the reduction being 2.1%. The changes may be greater than,decreased over the past 11 years with the reduction being 2.1%. The changes may be greater than,decreased over the past 11 years with the reduction being 2.1%. The changes may be greater than,decreased over the past 11 years with the reduction being 2.1%. The changes may be greater than
indicated due to the inventory technique used in CISC coupled with recent ongoing natural changes in,indicated due to the inventory technique used in CISC coupled with recent ongoing natural changes in,indicated due to the inventory technique used in CISC coupled with recent ongoing natural changes in,indicated due to the inventory technique used in CISC coupled with recent ongoing natural changes in,indicated due to the inventory technique used in CISC coupled with recent ongoing natural changes in,indicated due to the inventory technique used in CISC coupled with recent ongoing natural changes in
those eight forest types that are not reflected in these acreage figures. For at least the past decade CISC,those eight forest types that are not reflected in these acreage figures. For at least the past decade CISC,those eight forest types that are not reflected in these acreage figures. For at least the past decade CISC,those eight forest types that are not reflected in these acreage figures. For at least the past decade CISC,those eight forest types that are not reflected in these acreage figures. For at least the past decade CISC,those eight forest types that are not reflected in these acreage figures. For at least the past decade CISC
has only been updated on those lands considered suitable for timber production as allocated in the Forest,has only been updated on those lands considered suitable for timber production as allocated in the Forest,has only been updated on those lands considered suitable for timber production as allocated in the Forest,has only been updated on those lands considered suitable for timber production as allocated in the Forest,has only been updated on those lands considered suitable for timber production as allocated in the Forest,has only been updated on those lands considered suitable for timber production as allocated in the Forest
Plan. Yellow pine dominated forest types are considered unsuitable for timber production for the most,Plan. Yellow pine dominated forest types are considered unsuitable for timber production for the most,Plan. Yellow pine dominated forest types are considered unsuitable for timber production for the most,Plan. Yellow pine dominated forest types are considered unsuitable for timber production for the most,Plan. Yellow pine dominated forest types are considered unsuitable for timber production for the most,Plan. Yellow pine dominated forest types are considered unsuitable for timber production for the most
