Name: “Table 1 of 1 on page 33 of 76”,Name: “Table 1 of 1 on page 33 of 76”,Name: “Table 1 of 1 on page 33 of 76”,Name: “Table 1 of 1 on page 33 of 76”,Name: “Table 1 of 1 on page 33 of 76”,Name: “Table 1 of 1 on page 33 of 76”,Name: “Table 1 of 1 on page 33 of 76”,Name: “Table 1 of 1 on page 33 of 76”,Name: “Table 1 of 1 on page 33 of 76”,Name: “Table 1 of 1 on page 33 of 76”,Name: “Table 1 of 1 on page 33 of 76”
Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31,Table: 31
,,,,,,,,,,
Table,4--Area,4--Area,of,"timberland,",by,county,and,stand-size,"class,",
"Virginia,","Virginia,",1992--Continued,1992--Continued,1992--Continued,,,,,,
,,,,,,Stand-size,Stand-size,class,,
,,,,All,,,,,,Nonstocked
,County,,,,,,,,,
,,,,stands,,,,,Sapling-,areas
,,,,,Sawtimber,Sawtimber,Poletimber,Poletimber,,
,,,,,,,,,seedling,
,,,,,,,Acres,,,
Lancaster,Lancaster,,,"52,501",,"34,067",,"11,434","7,000",-_
Lee,,,,"150,024",,"70,002",,"56,957","23,065",__
Loudoun,,,,"117,248",,"73,385",,"22,823","21,040",_-
Louisa,,,,"228,537",,"103,025",,"80,274","45,238",__
Lunenburg,Lunenburg,,,"209,807",,"83,245",,"64,277","54,697","7,588"
Madison,,,,"88,259",,"71,867",,"12,035","4,357",__
Mathews,,,,"34,787",,"18,197",,"2,765","13,825",-_
Mecklenburg,Mecklenburg,,,"263,242",,"117,530",,"70,318","66,525","8,869"
Middlesex,Middlesex,,,"49,882",,"25,665",,"12,198","12,019",__
Montgomery,Montgomery,,,"145,281",,"82,067",,"47,688","15,526",_-
Nelson,,,,"231,868",,"143,965",,"39,006","48,897",__
New,Kent,,,"98,183",,"48,857",,"24,227","25,099",__
Newport,,News,,"7,934",,"7,929",,5,__,_-
Northampton,Northampton,,,"30,351",,"12,723",,"12,627","5,001",_-
Northumberland,Northumberland,Northumberland,Northumberland,"67,886",,"27,164",,"18,160","22,562",-_
Nottoway,Nottoway,,,"137,331",,"48,000",,"46,314","43,017",_-
Orange,,,,"125,448",,"49,330",,"54,792","21,326",-_
Page,,,,"81,722",,"50,417",,"31,059",246,__
Patrick,,,,"212,148",,"87,948",,"89,179","35,021",__
Pittsylvania,Pittsylvania,Pittsylvania,,"405,446",,"164,113",,"149,187","92,146",-_
Powhatan,Powhatan,,,"132,471",,"56,950",,"40,528","34,993",--
Prince,Edward,Edward,Edward,"165,647",,"42,767",,"61,473","57,384","4,023"
Prince,George,George,,"117,291",,"53,697",,"26,712","36,882",-_
Prince,William,William,William,"94,125",,"58,534",,"24,113","11,478",--
Pulaski,,,,"118,624",,"35,662",,"65,202","17,760",-_
Rappahannock,Rappahannock,Rappahannock,,"71,760",,"54,560",,"17,050",150,--
Richmond,Richmond,,,"76,279",,"35,230",,"26,047","15,002",--
Roanoke,,,,"107,085",,"60,932",,"43,084","3,069",_-
Rockbridge,Rockbridge,,,"241,345",,"132,371",,"79,879","29,095",__
Rockingham,Rockingham,,,"253,579",,"187,519",,"48,627","17,433",--
Russell,,,,"174,359",,"106,159",,"33,645","34,555",_-
Scott,,,,"235,375",,"161,825",,"64,158","9,392",-_
Shenandoah,Shenandoah,,,"184,362",,"106,525",,"69,124","8,713",-_
Smyth,,,,"172,279",,"112,154",,"26,413","24,182","9,530"
Southampton,Southampton,,,"240,492",,"96,894",,"68,514","72,174","2,910"
Spotsylvania,Spotsylvania,Spotsylvania,,"169,148",,"57,611",,"85,951","25,586",_-
Stafford,Stafford,,,"118,956",,"77,932",,"19,705","21,319",_-
Suffolk,,,,"111,147",,"35,819",,"30,665","42,106","2,557"
Surry,,,,"122,880",,"55,356",,"42,844","19,744","4,936"
Sussex,,,,"250,649",,"79,255",,"81,705","81,567","8,122"
Tazewell,Tazewell,,,"207,871","109,278","109,278",,"81,604","16,989",__
Virginia,Virginia,Beach,Beach,"36,581",,"22,184",,"8,765","5,632",__
Warren,,,,"64,311",,"42,698",,"16,274","5,339",--
Washington,Washington,,,"189,398",,"116,380",,"50,996","22,022",__
Westmoreland,Westmoreland,Westmoreland,,"74,248",,"39,198",,"24,709","10,341",__
Wise,,,,"178,114",,"98,416",,"57,620","22,078",-_
Wythe,,,,"140,921",,"83,933",,"38,923","18,065",-_
York,,,,"28,849",,"23,326",,"2,217","3,306",__
Total,,,,"15,447,550","7,599,417","7,599,417","4,710,024","4,710,024","3,034,010","104,099"
,,,,,,,,,,25
