Name: “Table 1 of 1 on page 26 of 76”,Name: “Table 1 of 1 on page 26 of 76”,Name: “Table 1 of 1 on page 26 of 76”,Name: “Table 1 of 1 on page 26 of 76”,Name: “Table 1 of 1 on page 26 of 76”,Name: “Table 1 of 1 on page 26 of 76”,Name: “Table 1 of 1 on page 26 of 76”,Name: “Table 1 of 1 on page 26 of 76”,Name: “Table 1 of 1 on page 26 of 76”,Name: “Table 1 of 1 on page 26 of 76”,Name: “Table 1 of 1 on page 26 of 76”,Name: “Table 1 of 1 on page 26 of 76”,Name: “Table 1 of 1 on page 26 of 76”
Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24,Table: 24
,,,,,,,,,,,,
Table,"l--Area,","l--Area,",by,county,and,land,"class,","Virginia,",1992,,,
,,,,,,,,Forest,Forest,land,,
,,,,All,,,,,,,,Nonforest
,County,County,,,,,,,,,,
,,,,landa,,Total,Total,Timberland,Woodland,Woodland,,landb
,,,,,,,,,,,timberland,
,,,,,,,,,Acres,Acres,,
Accomack,Accomack,,,"304,435",,"96,630","96,630","94,507",,"2,123",-_,"207,805"
Albemarle,Albemarle,Albemarle,,"470,829",,"293,436","293,436","278,205",,-_,"15,231","177,393"
Alleghany,Alleghany,Alleghany,,"290,317",,"254,026","254,026","249,199",,"1,010","3,817","36,291"
Amelia,Amelia,,,"228,410",,"169,531","169,531","169,355",,__,176,"58,879"
Amherst,Amherst,,,"306,246",,"226,454","226,454","224,549",,_-,"1,905","79,792"
Appomattox,Appomattox,Appomattox,,"215,078",,"153,357","153,357","151,559",,^-,"1,798","61,721"
Arlington,Arlington,Arlington,,"16,614",,,__,__,,_-,--,"16,614"
Augusta,Augusta,,,"643,097",,"346,217","346,217","291,118","13,736","13,736","41,363","296,880"
Bath,,,,"343,651",,"306,266","306,266","287,742",,"4,874","13,650","37,385"
Bedford,Bedford,,,"482,618",,"288,607","288,607","276,133",,--,"12,474","194,011"
Bland,,,,"229,446",,"179,477","179,477","173,503",,394,"5,580","49,969"
Botetourt,Botetourt,Botetourt,,"348,550",,"253,975","253,975","250,882",,58,"3,035","94,575"
Brunswick,Brunswick,Brunswick,,"360,460",,"290,950","290,950","290,950",,-_,_-,"69,510"
Buchanan,Buchanan,,,"322,355",,"290,585","290,585","290,585",,__,-_,"31,770"
Buckingham,Buckingham,Buckingham,,"373,401",,"301,661","301,661","300,672",,_-,989,"71,740"
Campbell,Campbell,,,"355,040",,"205,236","205,236","205,236",,--,__,"149,804"
Caroline,Caroline,,,"342,695",,"261,702","261,702","261,702",,_-,-_,"80,993"
Carroll,Carroll,,,"308,777",,"184,058","184,058","182,605",,-_,"1,453","124,719"
Charles,Charles,City,,"116,128",,"85,042","85,042","84,737",,-_,305,"31,086"
Charlotte,Charlotte,Charlotte,,"304,960",,"209,194","209,194","209,194",,__,_-,"95,766"
Chesapeake,Chesapeake,Chesapeake,,"270,655",,"101,569","101,569","59,974",,_-,"41,595","169,086"
Chesterfield,Chesterfield,Chesterfield,,"304,448",,"189,813","189,813","187,487",,-_,"2,326","114,635"
Clarke,Clarke,,,"114,138",,"39,987","39,987","37,876",,_-,"2,111","74,151"
Craig,,,,"211,085",,"179,276","179,276","162,684",,13,"16,579","31,809"
Culpeper,Culpeper,,,"244,480",,"114,304","114,304","114,304",,-_,_-,"130,176"
Cumberland,Cumberland,Cumberland,,"191,712",,"133,642","133,642","131,624",,--,"2,018","58,070"
Dickenson,Dickenson,Dickenson,,"212,077",,"175,390","175,390","171,650",,--,"3,740","36,687"
Dinwiddie,Dinwiddie,Dinwiddie,,"337,213",,"244,769","244,769","244,049",,_-,720,"92,444"
Essex,,,,"168,051",,"98,013","98,013","98,013",,--,-_,"70,038"
Fairfax,Fairfax,,,"266,592",,"92,614","92,614","68,538",,--,"24,076","173,978"
Fauquier,Fauquier,,,"416,570",,"175,188","175,188","174,154",,--,"1,034","241,382"
Floyd,,,,"243,981",,"143,873","143,873","141,181",,_-,"2,692","100,108"
Fluvanna,Fluvanna,,,"185,510",,"137,348","137,348","137,348",,--,--,"48,162"
Franklin,Franklin,,,"437,248",,"284,099","284,099","279,964",,-_,"4,135","153,149"
Frederick,Frederick,Frederick,,"271,532",,"129,262","129,262","128,921",,341,_-,"142,270"
Giles,,,,"231,654",,"176,775","176,775","167,121",,--,"9,654","54,879"
Gloucester,Gloucester,Gloucester,,"144,122",,"94,613","94,613","94,613",,--,-_,"49,509"
Goochland,Goochland,Goochland,,"180,032",,"130,505","130,505","130,505",,_-,__,"49,527"
Grayson,Grayson,,,"287,582",,"175,828","175,828","164,742",,_-,"11,086","111,754"
Greene,Greene,,,"100,371",,"68,858","68,858","53,599",,-_,"15,259","31,513"
Greensville,Greensville,Greensville,,"193,779",,"135,286","135,286","135,286",,--,--,"58,493"
Halifax,Halifax,,,"525,818",,"352,976","352,976","351,662",,-_,"1,314","172,842"
Hampton,Hampton,,,"32,832",,"4,342","4,342","4,342",,-_,_-,"28,490"
Hanover,Hanover,,,"299,155",,"178,376","178,376","178,181",,-_,195,"120,779"
Henrico,Henrico,,,"169,210",,"59,637","59,637","59,429",,--,208,"109,573"
Henry,,,,"251,712",,"179,127","179,127","176,780",,_-,"2,347","72,585"
Highland,Highland,,,"266,112",,"196,294","196,294","196,003",,291,--,"69,818"
Isle,of,Wight,,"204,454",,"114,511","114,511","114,161",,_-,350,"89,943"
James,City,City,,"101,293",,"64,973","64,973","60,221",,_-,"4,752","36,320"
King,and,Queen,,"202,982",,"152,722","152,722","152,722",,-_,--,"50,260"
King,George,George,,"115,245",,"72,837","72,837","70,130",,-_,"2,707","42,408"
King,William,William,,"177,766",,"111,822","111,822","111,822",,-0,_-,"65,944"
,,,,,,,,,,,,Continued
18,,,,,,,,,,,,
