Name: “Table 2 of 3”,Name: “Table 2 of 3”,Name: “Table 2 of 3”,Name: “Table 2 of 3”,Name: “Table 2 of 3”
Table: 2,Table: 2,Table: 2,Table: 2,Table: 2
,,,,
,1995,1996,1997,1998
Cooperative Forest Health Program,"64,557","68,607","68,607","68,607"
Forest Health Monitoring,"62,000","62,000","62,000","62,000"
,,,,
Cooperative Suppression,,,,
southern pine beetle,0,"10,000","10,000","8,000"
gypsy moth suppression,"1,100,296","651,949","292,300","267,000"
gypsy moth eradication,0,0,"52,000",0
Slow-the-Spread (gypsy moth),"1,004,565","584,484","590,686","672,500"
,,,,
George Washington/Jefferson,,,,
National Forests,,,,
gypsy moth,"231,351","100,963","131,500","126,500"
Slow- the-Spread (gypsy moth),"101,375","293,570","55,197","30,000"
hemlock woolly adelgid,"4,564","40,200","40,000","34,000"
